Census Tract FIPS code,County,Year,Inclusive Growth Score,RUCC_2023,Description,Shape,Is an Opportunity Zone,State.x,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Persol Income Score,"Persol Income Base, %","Persol Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %",FIPS,State.y,Population_2020,FID,STATEFP,COUNTYFP,TRACTCE,ME.x,MELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ME.y,variable.x,white_pop_estimate,white_pop_moe,ME.x.x,variable.y,bachelors_estimate,bachelors_moe,ME.y.y,variable.x.x,female_pop_estimate,female_pop_moe,ME.x.x.x,variable.y.y,employment_status_estimate,employment_status_moe,ME.y.y.y,variable.x.x.x,median_household_income_estimate,median_household_income_moe,ME.x.x.x.x,variable.y.y.y,vehicle_access_estimate,vehicle_access_moe,ME.y.y.y.y,variable.x.x.x.x,white_pov_estimate,white_pov_moe,ME,variable.y.y.y.y,hs_diploma_estimate,hs_diploma_moe
13303950100,Washington County,2022,44,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",0,,Georgia,45,44,48,40,55,43,-5.2,-1.2,37,12.4,4.5,42,2,1.5,94,78.2,88.2,17,86.7,72.3,67,59.5,68.4,29,45,13,61,-13.7,25,,,,29,28.6,20,,,,24,45,23,2,23.5,9.3,56,49,64,49,15.8,14.5,,,,52,84.6,85.3,67,42.1,39.3,,29.5,,74,88.3,92.1,13303,GA,19988,,,,,,,,,,,,,Census Tract 9501; Washington County; Georgia,B02001_002,1198,214,Census Tract 9501; Washington County; Georgia,B15003_022,102,45,Census Tract 9501; Washington County; Georgia,B01001_026,914,167,Census Tract 9501; Washington County; Georgia,B23025_005,5,8,Census Tract 9501; Washington County; Georgia,B19019_001,63182,16470,Census Tract 9501; Washington County; Georgia,B08201_002,42,38,Census Tract 9501; Washington County; Georgia,B17001A_002,98,95,Census Tract 9501; Washington County; Georgia,B15003_017,480,152
13245010712,Richmond County,2022,50,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,,Georgia,53,46,52,50,53,49,-5.2,-27,50,12.4,-1.2,78,2,5.8,18,78.2,70.1,38,86.7,82.8,79,59.5,75.2,44,66,22,77,-13.7,89.2,50,,,72,28.6,101.6,1,4,0.7,18,45,18,46,23.5,22.7,54,44,63,54,15.8,16.6,34,,,55,84.6,86.1,53,42.1,41.6,,29.5,,82,88.3,93.6,13245,GA,206607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13089021210,DeKalb County,2022,64,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,58,69,66,60,73,57,-5.2,-3.7,63,12.4,5.5,61,2,2.9,96,78.2,89.2,73,86.7,92.7,63,59.5,66.1,44,31,57,31,-13.7,-28,26,,,37,28.6,-4.5,1,4,0.7,94,45,95,75,23.5,29.2,81,84,78,81,15.8,24.2,86,,,98,84.6,98.3,44,42.1,43.1,72,29.5,40.9,99,88.3,99.1,13089,GA,764382,,,,,,,,,,,,,Census Tract 212.10; DeKalb County; Georgia,B02001_002,5135,550,Census Tract 212.10; DeKalb County; Georgia,B15003_022,1749,251,Census Tract 212.10; DeKalb County; Georgia,B01001_026,2688,322,Census Tract 212.10; DeKalb County; Georgia,B23025_005,26,37,Census Tract 212.10; DeKalb County; Georgia,B19019_001,213750,21560,Census Tract 212.10; DeKalb County; Georgia,B08201_002,52,68,Census Tract 212.10; DeKalb County; Georgia,B17001A_002,80,78,Census Tract 212.10; DeKalb County; Georgia,B15003_017,349,197
13117130201,Forsyth County,2022,66,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,67,65,73,82,64,78,-5.2,12.2,86,12.4,100.4,65,2,3.4,89,78.2,87,81,86.7,94.5,20,59.5,45.9,46,38,54,9,-13.7,-35.8,,,,66,28.6,51.2,,,,89,45,89,18,23.5,16,78,80,76,80,15.8,28.5,,,,83,84.6,93.9,92,42.1,34,69,29.5,38.7,62,88.3,90.1,13117,GA,251283,,,,,,,,,,,,,Census Tract 1302.01; Forsyth County; Georgia,B02001_002,5508,747,Census Tract 1302.01; Forsyth County; Georgia,B15003_022,961,222,Census Tract 1302.01; Forsyth County; Georgia,B01001_026,3148,453,Census Tract 1302.01; Forsyth County; Georgia,B23025_005,103,72,Census Tract 1302.01; Forsyth County; Georgia,B19019_001,140234,25698,Census Tract 1302.01; Forsyth County; Georgia,B08201_002,14,18,Census Tract 1302.01; Forsyth County; Georgia,B17001A_002,141,90,Census Tract 1302.01; Forsyth County; Georgia,B15003_017,934,462
13067030219,Cobb County,2022,66,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,52,79,54,35,72,34,-5.2,-41.3,36,12.4,-51.7,92,2,15.2,88,78.2,86.5,97,86.7,98.9,9,59.5,39.4,60,52,68,53,-13.7,-18.2,39,,,64,28.6,28.1,30,4,2.9,87,45,87,87,23.5,33.3,83,70,96,69,15.8,18.9,70,,,99,84.6,99,92,42.1,34.1,,29.5,,97,88.3,97.8,13067,GA,766149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13151070113,Henry County,2022,46,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,55,36,54,74,34,76,-5.2,19.4,71,12.4,145.1,54,2,2.3,2,78.2,57.1,20,86.7,74.2,59,59.5,64.3,56,62,49,60,-13.7,-14.5,65,,,61,28.6,43.7,51,4,4.1,27,45,25,70,23.5,27.9,27,30,24,19,15.8,0.1,41,,,20,84.6,71.5,69,42.1,38.8,2,29.5,5.7,6,88.3,77.7,13151,GA,240712,,,,,,,,,,,,,Census Tract 701.13; Henry County; Georgia,B02001_002,2275,856,Census Tract 701.13; Henry County; Georgia,B15003_022,408,215,Census Tract 701.13; Henry County; Georgia,B01001_026,2246,438,Census Tract 701.13; Henry County; Georgia,B23025_005,415,281,Census Tract 701.13; Henry County; Georgia,B19019_001,54080,12987,Census Tract 701.13; Henry County; Georgia,B08201_002,47,64,Census Tract 701.13; Henry County; Georgia,B17001A_002,408,254,Census Tract 701.13; Henry County; Georgia,B15003_017,1535,537
13067031306,Cobb County,2022,48,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,51,44,48,62,35,71,-5.2,10.2,53,12.4,20.2,21,2,0.5,62,78.2,80.6,55,86.7,88.4,2,59.5,29.5,57,56,58,51,-13.7,-17.1,42,,,76,28.6,70.1,48,4,3.9,67,45,62,59,23.5,25.5,36,34,38,39,15.8,8,29,,,70,84.6,90.2,51,42.1,42,3,29.5,5.8,29,88.3,85,13067,GA,766149,,,,,,,,,,,,,Census Tract 313.06; Cobb County; Georgia,B02001_002,1711,470,Census Tract 313.06; Cobb County; Georgia,B15003_022,393,150,Census Tract 313.06; Cobb County; Georgia,B01001_026,2333,447,Census Tract 313.06; Cobb County; Georgia,B23025_005,218,152,Census Tract 313.06; Cobb County; Georgia,B19019_001,81477,17406,Census Tract 313.06; Cobb County; Georgia,B08201_002,75,97,Census Tract 313.06; Cobb County; Georgia,B17001A_002,87,78,Census Tract 313.06; Cobb County; Georgia,B15003_017,842,252
13067031311,Cobb County,2022,44,1,Metro - Counties in metro areas of 1 million population or more,0,,Georgia,42,46,39,42,36,44,-5.2,-31.9,40,12.4,-4.5,48,2,1.8,4,78.2,60.2,79,86.7,94.1,15,59.5,43.3,64,61,66,33,-13.7,-24.5,64,,,86,28.6,108.1,44,4,3.7,76,45,72,77,23.5,29.6,30,24,35,22,15.8,5.2,25,,,15,84.6,67.9,42,42.1,43.3,,29.5,,49,88.3,88.1,13067,GA,766149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13063040202,Clayton County,2022,48,1,Metro - Counties in metro areas of 1 million population or more,1,,Georgia,48,49,30,58,2,56,-5.2,4,61,12.4,83.3,2,2,0,,78.2,,,86.7,,,59.5,,59,43,75,39,-13.7,-23,32,,,59,28.6,34.8,91,4,9.4,47,45,42,87,23.5,33.3,58,44,71,39,15.8,17.6,50,,,,84.6,,71,42.1,38.5,,29.5,,,88.3,,13063,GA,297595,2555,13,63,40202,402.02,Census Tract 402.02,G5020,S,10260765,101257,33.6143004,-84.415514,Census Tract 402.02; Clayton County; Georgia,B02001_002,96,74,Census Tract 402.02; Clayton County; Georgia,B15003_022,103,54,Census Tract 402.02; Clayton County; Georgia,B01001_026,1438,270,Census Tract 402.02; Clayton County; Georgia,B23025_005,54,36,Census Tract 402.02; Clayton County; Georgia,B19019_001,40287,4804,Census Tract 402.02; Clayton County; Georgia,B08201_002,232,96,Census Tract 402.02; Clayton County; Georgia,B17001A_002,1,3,Census Tract 402.02; Clayton County; Georgia,B15003_017,439,143
13177020403,Lee County,2022,68,3,"Metro - Counties in metro areas of fewer than 250,000 population",1,,Georgia,61,76,74,76,71,83,-5.2,11.3,69,12.4,27.3,19,2,0.4,96,78.2,89.8,82,86.7,94.9,87,59.5,81.1,63,55,71,54,-13.7,-15,56,,,54,28.6,21.7,61,4,4.8,87,45,87,65,23.5,26.8,70,52,87,44,15.8,6.6,59,,,84,84.6,94,97,42.1,31.8,73,29.5,41.3,94,88.3,96.9,13177,GA,33163,1014,13,177,20403,204.03,Census Tract 204.03,G5020,S,34267515,0,31.6382136,-84.2490488,Census Tract 204.03; Lee County; Georgia,B02001_002,5134,780,Census Tract 204.03; Lee County; Georgia,B15003_022,1368,368,Census Tract 204.03; Lee County; Georgia,B01001_026,3454,466,Census Tract 204.03; Lee County; Georgia,B23025_005,74,78,Census Tract 204.03; Lee County; Georgia,B19019_001,108258,18621,Census Tract 204.03; Lee County; Georgia,B08201_002,4,8,Census Tract 204.03; Lee County; Georgia,B17001A_002,100,113,Census Tract 204.03; Lee County; Georgia,B15003_017,900,256
